"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
15;"Bournemouth";21;6;8;7;34;40;26;35.17;32.89;31;28.71;4.17;8.83;9.9;155;152;32.66
8;"Chelsea";21;8;7;6;34;24;31;39.95;38.43;31.04;31.04;7.39;8.85;14.04;152;135;32.27
1;"Arsenal";21;15;4;2;40;14;49;41.46;39.18;17.65;17.65;21.53;9.49;16.37;195;72;44.82
11;"Brighton";21;7;8;6;31;28;29;33.02;29.22;34.09;30.29;-1.07;9.51;12.9;128;154;28.52
7;"Manchester United";21;8;8;5;36;32;32;41.34;38.3;28.61;27.85;10.45;9.59;11.09;156;127;35.71
4;"Liverpool";21;10;5;6;32;28;35;35.41;34.65;26.87;24.59;10.07;9.91;14.47;183;111;35.09
6;"Newcastle United";21;9;5;7;32;27;32;34.97;31.92;25.16;22.88;9.04;10.11;11.94;149;131;34.83
14;"Tottenham";21;7;6;8;30;27;27;23.55;23.55;26.69;25.93;-2.37;10.4;9.95;116;139;28.46
2;"Manchester City";21;13;4;4;45;19;43;43.57;41.29;24.03;22.35;18.94;11.46;12.45;206;96;41.78
20;"Wolverhampton Wanderers";21;1;4;16;15;41;7;19.37;17.09;33.97;33.21;-16.12;11.51;10;103;166;20.49
5;"Brentford";21;10;3;8;35;28;33;39.24;33.91;28.95;25.15;8.76;11.71;10.36;127;130;34.4
3;"Aston Villa";21;13;4;4;33;24;43;29.77;29.77;33.33;31.81;-2.04;11.76;9.14;157;126;26.02
17;"Nottingham Forest";21;6;3;12;21;34;21;24.01;22.49;33.54;30.49;-8;11.94;10.29;125;146;22.86
16;"Leeds";21;5;7;9;29;37;22;31.59;28.39;30.63;27.59;0.81;12.62;11.15;111;128;30.62
10;"Sunderland";21;7;9;5;21;22;30;20.83;18.55;34.12;33.36;-14.81;12.81;10.68;100;198;20.61
9;"Fulham";21;9;4;8;30;30;31;25.08;24.32;32.28;30;-5.68;12.97;13.98;151;139;23.46
19;"Burnley";21;3;4;14;22;41;13;19.97;18.44;45.55;41.74;-23.3;13.19;11.75;85;184;13.46
12;"Everton";21;8;5;8;23;25;29;26.44;25.68;32.9;30.61;-4.93;13.65;9;124;158;25.62
18;"West Ham";21;3;5;13;22;43;14;23.33;21.8;42.61;38.04;-16.24;14.17;9.71;100;153;19.24
13;"Crystal Palace";21;7;7;7;22;23;28;36.03;32.98;31.09;29.56;3.42;14.24;10.41;154;132;31.61
